,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9
0,0.428,0.399,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022
1,0.024,0.024,0.024,0.327,0.478,0.024,0.024,0.024,0.024,0.024
2,0.020,0.020,0.020,0.020,0.816,0.020,0.020,0.020,0.020,0.020
3,0.025,0.120,0.025,0.329,0.025,0.025,0.025,0.025,0.025,0.374
4,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.673,0.130
5,0.023,0.023,0.023,0.023,0.793,0.023,0.023,0.023,0.023,0.023
6,0.023,0.023,0.023,0.352,0.023,0.023,0.023,0.023,0.023,0.464
7,0.026,0.026,0.383,0.026,0.026,0.026,0.026,0.151,0.026,0.286
8,0.025,0.437,0.025,0.025,0.025,0.025,0.025,0.025,0.364,0.025
9,0.028,0.028,0.028,0.747,0.028,0.028,0.028,0.028,0.028,0.028
10,0.023,0.023,0.793,0.023,0.023,0.023,0.023,0.023,0.023,0.023
11,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.748,0.028,0.028
12,0.532,0.023,0.285,0.023,0.023,0.023,0.023,0.023,0.023,0.023
13,0.028,0.150,0.028,0.028,0.627,0.028,0.028,0.028,0.028,0.028
14,0.028,0.192,0.028,0.582,0.028,0.028,0.028,0.028,0.028,0.028
15,0.025,0.129,0.673,0.025,0.025,0.025,0.025,0.025,0.025,0.025
16,0.024,0.024,0.269,0.539,0.024,0.024,0.024,0.024,0.024,0.024
17,0.024,0.781,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024
18,0.024,0.024,0.024,0.781,0.024,0.024,0.024,0.024,0.024,0.024
19,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.747,0.028
20,0.206,0.097,0.371,0.023,0.189,0.023,0.023,0.023,0.023,0.023
21,0.547,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.140,0.165
22,0.717,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031
23,0.027,0.027,0.027,0.324,0.462,0.027,0.027,0.027,0.027,0.027
24,0.756,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027
25,0.024,0.024,0.024,0.780,0.024,0.024,0.024,0.024,0.024,0.024
26,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.158,0.651
27,0.027,0.027,0.186,0.602,0.027,0.027,0.027,0.027,0.027,0.027
28,0.653,0.136,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026
29,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.758,0.027,0.027
30,0.025,0.025,0.025,0.772,0.025,0.025,0.025,0.025,0.025,0.025
31,0.022,0.022,0.607,0.022,0.216,0.022,0.022,0.022,0.022,0.022
32,0.024,0.024,0.024,0.788,0.024,0.024,0.024,0.024,0.024,0.024
33,0.192,0.027,0.027,0.593,0.027,0.027,0.027,0.027,0.027,0.027
34,0.022,0.022,0.110,0.022,0.022,0.022,0.717,0.022,0.022,0.022
35,0.028,0.028,0.746,0.028,0.028,0.028,0.028,0.028,0.028,0.028
36,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.758,0.027,0.027
37,0.023,0.023,0.023,0.023,0.023,0.023,0.790,0.023,0.023,0.023
38,0.017,0.017,0.017,0.017,0.313,0.017,0.017,0.017,0.550,0.017
39,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.751,0.028,0.028
40,0.016,0.016,0.016,0.226,0.016,0.016,0.016,0.016,0.016,0.648
41,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.777,0.025
42,0.028,0.028,0.028,0.028,0.028,0.749,0.028,0.028,0.028,0.028
43,0.769,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026
44,0.028,0.028,0.028,0.492,0.028,0.166,0.028,0.028,0.147,0.028
45,0.027,0.027,0.027,0.406,0.027,0.027,0.027,0.194,0.210,0.027
46,0.412,0.402,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023
47,0.022,0.022,0.022,0.289,0.533,0.022,0.022,0.022,0.022,0.022
48,0.026,0.026,0.026,0.599,0.197,0.026,0.026,0.026,0.026,0.026
49,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.794
50,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.780
51,0.191,0.028,0.028,0.144,0.028,0.028,0.028,0.028,0.028,0.469
52,0.027,0.335,0.452,0.027,0.027,0.027,0.027,0.027,0.027,0.027
53,0.032,0.716,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032
54,0.737,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029
55,0.025,0.025,0.025,0.025,0.025,0.025,0.776,0.025,0.025,0.025
56,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.757
57,0.024,0.024,0.024,0.783,0.024,0.024,0.024,0.024,0.024,0.024
58,0.025,0.025,0.025,0.395,0.025,0.406,0.025,0.025,0.025,0.025
59,0.579,0.026,0.026,0.213,0.026,0.026,0.026,0.026,0.026,0.026
60,0.027,0.027,0.604,0.027,0.027,0.027,0.027,0.027,0.027,0.184
61,0.021,0.021,0.564,0.021,0.021,0.021,0.021,0.021,0.021,0.264
62,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.771,0.025
63,0.216,0.028,0.028,0.028,0.028,0.028,0.028,0.558,0.028,0.028
64,0.031,0.721,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031
65,0.035,0.035,0.035,0.458,0.035,0.035,0.035,0.265,0.035,0.035
66,0.017,0.017,0.846,0.017,0.017,0.017,0.017,0.017,0.017,0.017
67,0.022,0.493,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.332
68,0.032,0.716,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032
69,0.026,0.026,0.026,0.026,0.026,0.770,0.026,0.026,0.026,0.026
70,0.232,0.019,0.019,0.019,0.433,0.019,0.204,0.019,0.019,0.019
71,0.029,0.029,0.391,0.029,0.029,0.029,0.379,0.029,0.029,0.029
72,0.022,0.022,0.022,0.022,0.585,0.239,0.022,0.022,0.022,0.022
73,0.025,0.025,0.025,0.771,0.025,0.025,0.025,0.025,0.025,0.025
74,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.759
75,0.544,0.028,0.028,0.231,0.028,0.028,0.028,0.028,0.028,0.028
76,0.805,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022
77,0.028,0.028,0.028,0.028,0.747,0.028,0.028,0.028,0.028,0.028
78,0.025,0.025,0.025,0.025,0.777,0.025,0.025,0.025,0.025,0.025
79,0.641,0.022,0.022,0.185,0.022,0.022,0.022,0.022,0.022,0.022
80,0.718,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031
81,0.024,0.781,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024
82,0.307,0.024,0.024,0.024,0.024,0.024,0.177,0.345,0.024,0.024
83,0.021,0.021,0.560,0.021,0.274,0.021,0.021,0.021,0.021,0.021
84,0.025,0.025,0.305,0.025,0.210,0.136,0.025,0.202,0.025,0.025
85,0.025,0.025,0.025,0.025,0.776,0.025,0.025,0.025,0.025,0.025
86,0.020,0.020,0.020,0.020,0.020,0.020,0.518,0.020,0.020,0.323
87,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.714
88,0.024,0.024,0.785,0.024,0.024,0.024,0.024,0.024,0.024,0.024
89,0.026,0.026,0.026,0.026,0.026,0.026,0.769,0.026,0.026,0.026
90,0.034,0.034,0.034,0.034,0.034,0.694,0.034,0.034,0.034,0.034
91,0.027,0.195,0.027,0.027,0.027,0.027,0.408,0.027,0.205,0.027
92,0.212,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.132,0.486
93,0.026,0.026,0.769,0.026,0.026,0.026,0.026,0.026,0.026,0.026
94,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.209,0.574
95,0.031,0.031,0.718,0.031,0.031,0.031,0.031,0.031,0.031,0.031
96,0.024,0.133,0.024,0.678,0.024,0.024,0.024,0.024,0.024,0.024
97,0.019,0.019,0.768,0.019,0.019,0.019,0.019,0.078,0.019,0.019
98,0.227,0.022,0.022,0.022,0.350,0.266,0.022,0.022,0.022,0.022
99,0.027,0.027,0.027,0.757,0.027,0.027,0.027,0.027,0.027,0.027
100,0.021,0.021,0.808,0.021,0.021,0.021,0.021,0.021,0.021,0.021
101,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.754,0.027
102,0.015,0.015,0.015,0.015,0.015,0.862,0.015,0.015,0.015,0.015
103,0.240,0.024,0.024,0.570,0.024,0.024,0.024,0.024,0.024,0.024
104,0.027,0.027,0.027,0.027,0.027,0.754,0.027,0.027,0.027,0.027
105,0.273,0.016,0.016,0.183,0.016,0.016,0.324,0.016,0.122,0.016
106,0.028,0.028,0.028,0.028,0.748,0.028,0.028,0.028,0.028,0.028
107,0.034,0.282,0.034,0.446,0.034,0.034,0.034,0.034,0.034,0.034
108,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.717
109,0.331,0.139,0.018,0.018,0.162,0.018,0.259,0.018,0.018,0.018
110,0.018,0.018,0.018,0.018,0.638,0.082,0.018,0.018,0.018,0.157
111,0.549,0.030,0.030,0.030,0.030,0.030,0.030,0.030,0.212,0.030
112,0.027,0.421,0.027,0.363,0.027,0.027,0.027,0.027,0.027,0.027
113,0.024,0.024,0.024,0.024,0.024,0.024,0.783,0.024,0.024,0.024
114,0.024,0.024,0.265,0.258,0.024,0.024,0.024,0.024,0.024,0.306
115,0.245,0.017,0.017,0.017,0.017,0.562,0.017,0.017,0.017,0.074
116,0.024,0.024,0.024,0.024,0.024,0.590,0.220,0.024,0.024,0.024
117,0.024,0.780,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024
118,0.017,0.017,0.236,0.017,0.017,0.188,0.367,0.017,0.105,0.017
119,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.785
120,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.742
121,0.691,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034
122,0.024,0.024,0.297,0.024,0.418,0.024,0.024,0.024,0.119,0.024
123,0.025,0.025,0.771,0.025,0.025,0.025,0.025,0.025,0.025,0.025
124,0.599,0.021,0.237,0.021,0.021,0.021,0.021,0.021,0.021,0.021
125,0.024,0.024,0.024,0.024,0.300,0.024,0.024,0.024,0.024,0.508
126,0.028,0.751,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028
127,0.545,0.016,0.016,0.067,0.016,0.016,0.016,0.016,0.275,0.016
128,0.026,0.026,0.026,0.026,0.768,0.026,0.026,0.026,0.026,0.026
129,0.640,0.024,0.024,0.024,0.024,0.168,0.024,0.024,0.024,0.024
130,0.018,0.018,0.470,0.018,0.207,0.090,0.018,0.125,0.018,0.018
131,0.022,0.022,0.022,0.022,0.802,0.022,0.022,0.022,0.022,0.022
132,0.321,0.276,0.026,0.223,0.026,0.026,0.026,0.026,0.026,0.026
133,0.021,0.179,0.021,0.506,0.021,0.021,0.021,0.021,0.167,0.021
134,0.022,0.022,0.022,0.022,0.805,0.022,0.022,0.022,0.022,0.022
135,0.023,0.023,0.023,0.023,0.023,0.791,0.023,0.023,0.023,0.023
136,0.024,0.024,0.024,0.024,0.024,0.787,0.024,0.024,0.024,0.024
137,0.027,0.027,0.027,0.027,0.758,0.027,0.027,0.027,0.027,0.027
138,0.028,0.028,0.746,0.028,0.028,0.028,0.028,0.028,0.028,0.028
139,0.019,0.502,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.347
140,0.797,0.022,0.023,0.023,0.023,0.023,0.022,0.023,0.023,0.023
141,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.786,0.024,0.024
142,0.024,0.024,0.024,0.024,0.024,0.267,0.024,0.024,0.543,0.024
143,0.028,0.028,0.747,0.028,0.028,0.028,0.028,0.028,0.028,0.028
144,0.026,0.769,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026
145,0.026,0.026,0.026,0.768,0.026,0.026,0.026,0.026,0.026,0.026
146,0.246,0.022,0.579,0.022,0.022,0.022,0.022,0.022,0.022,0.022
147,0.026,0.767,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026
148,0.024,0.780,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024
149,0.477,0.022,0.022,0.022,0.349,0.022,0.022,0.022,0.022,0.022
150,0.024,0.024,0.024,0.024,0.024,0.782,0.024,0.024,0.024,0.024
151,0.536,0.030,0.030,0.030,0.030,0.030,0.030,0.030,0.224,0.030
152,0.030,0.030,0.030,0.030,0.734,0.030,0.030,0.030,0.030,0.030
153,0.019,0.229,0.377,0.019,0.019,0.262,0.019,0.019,0.019,0.019
154,0.026,0.026,0.026,0.769,0.026,0.026,0.026,0.026,0.026,0.026
155,0.032,0.715,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032
156,0.780,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024
157,0.024,0.781,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024
158,0.025,0.771,0.026,0.026,0.025,0.025,0.026,0.026,0.025,0.025
159,0.015,0.015,0.470,0.015,0.015,0.217,0.015,0.015,0.015,0.210
160,0.024,0.024,0.136,0.024,0.024,0.024,0.024,0.024,0.024,0.672
161,0.026,0.762,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026
162,0.760,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027
163,0.486,0.023,0.023,0.023,0.217,0.023,0.023,0.023,0.023,0.137
164,0.031,0.031,0.031,0.471,0.031,0.031,0.277,0.031,0.031,0.031
165,0.023,0.023,0.023,0.794,0.023,0.023,0.023,0.023,0.023,0.023
166,0.567,0.015,0.059,0.015,0.119,0.163,0.015,0.015,0.015,0.015
167,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.771
168,0.027,0.027,0.027,0.027,0.027,0.756,0.027,0.027,0.027,0.027
169,0.028,0.028,0.028,0.028,0.746,0.028,0.028,0.028,0.028,0.028
170,0.023,0.023,0.023,0.793,0.023,0.023,0.023,0.023,0.023,0.023
171,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.716,0.032
172,0.727,0.030,0.030,0.030,0.030,0.030,0.030,0.030,0.030,0.030
173,0.023,0.023,0.023,0.023,0.797,0.023,0.023,0.023,0.023,0.023
174,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.794,0.023,0.023
175,0.025,0.025,0.025,0.025,0.025,0.025,0.777,0.025,0.025,0.025
176,0.026,0.026,0.026,0.374,0.026,0.026,0.026,0.422,0.026,0.026
177,0.026,0.026,0.026,0.243,0.026,0.026,0.026,0.026,0.232,0.344
178,0.030,0.030,0.030,0.030,0.030,0.030,0.730,0.030,0.030,0.030
179,0.019,0.113,0.120,0.019,0.019,0.019,0.019,0.019,0.110,0.540
180,0.022,0.022,0.805,0.022,0.022,0.022,0.022,0.022,0.022,0.022
181,0.023,0.790,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023
182,0.719,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031
183,0.828,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019
184,0.026,0.026,0.026,0.026,0.769,0.026,0.026,0.026,0.026,0.026
185,0.779,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025
186,0.018,0.018,0.842,0.018,0.018,0.018,0.018,0.018,0.018,0.018
187,0.034,0.034,0.034,0.034,0.697,0.034,0.034,0.034,0.034,0.034
188,0.025,0.025,0.025,0.025,0.025,0.776,0.025,0.025,0.025,0.025
189,0.025,0.025,0.025,0.025,0.025,0.025,0.779,0.025,0.025,0.025
190,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.760
191,0.296,0.022,0.022,0.022,0.022,0.022,0.022,0.154,0.022,0.397
192,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.750,0.028,0.028
193,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.797,0.023,0.023
194,0.024,0.024,0.024,0.024,0.024,0.024,0.786,0.024,0.024,0.024
195,0.020,0.020,0.450,0.020,0.020,0.020,0.020,0.020,0.391,0.020
196,0.021,0.021,0.021,0.021,0.021,0.808,0.021,0.021,0.021,0.021
197,0.017,0.017,0.017,0.017,0.017,0.107,0.017,0.017,0.627,0.145
198,0.361,0.026,0.025,0.025,0.025,0.435,0.025,0.025,0.025,0.025
199,0.115,0.028,0.028,0.529,0.028,0.163,0.028,0.028,0.028,0.028
200,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.771,0.025,0.025
201,0.028,0.028,0.224,0.028,0.555,0.028,0.028,0.028,0.028,0.028
202,0.141,0.236,0.023,0.023,0.023,0.463,0.023,0.023,0.023,0.023
203,0.024,0.024,0.024,0.024,0.336,0.024,0.024,0.024,0.472,0.024
204,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.737,0.029,0.029
205,0.393,0.024,0.024,0.024,0.024,0.415,0.024,0.024,0.024,0.024
206,0.793,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023
207,0.491,0.017,0.375,0.017,0.017,0.017,0.017,0.017,0.017,0.017
208,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.486,0.288
209,0.030,0.030,0.030,0.178,0.030,0.030,0.030,0.210,0.402,0.030
210,0.023,0.128,0.686,0.023,0.023,0.023,0.023,0.023,0.023,0.023
211,0.609,0.192,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025
212,0.375,0.025,0.428,0.025,0.025,0.025,0.025,0.025,0.025,0.025
213,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.142,0.024,0.668
214,0.030,0.030,0.030,0.030,0.030,0.030,0.030,0.030,0.030,0.728
215,0.818,0.020,0.020,0.020,0.020,0.020,0.020,0.020,0.020,0.020
216,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.750,0.028
217,0.028,0.028,0.028,0.316,0.460,0.028,0.028,0.028,0.028,0.028
218,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.811
219,0.020,0.020,0.020,0.020,0.020,0.020,0.820,0.020,0.020,0.020
220,0.028,0.028,0.028,0.749,0.028,0.028,0.028,0.028,0.028,0.028
221,0.021,0.021,0.211,0.021,0.021,0.021,0.021,0.021,0.021,0.620
222,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.716,0.032
223,0.023,0.023,0.640,0.023,0.176,0.023,0.023,0.023,0.023,0.023
224,0.029,0.029,0.739,0.029,0.029,0.029,0.029,0.029,0.029,0.029
225,0.023,0.023,0.023,0.795,0.023,0.023,0.023,0.023,0.023,0.023
226,0.025,0.025,0.779,0.025,0.025,0.025,0.025,0.025,0.025,0.025
227,0.023,0.023,0.023,0.023,0.357,0.023,0.023,0.023,0.023,0.456
228,0.485,0.023,0.023,0.333,0.023,0.023,0.023,0.023,0.023,0.023
229,0.027,0.027,0.027,0.027,0.753,0.027,0.027,0.027,0.027,0.027
230,0.022,0.154,0.022,0.670,0.022,0.022,0.022,0.022,0.022,0.022
231,0.032,0.032,0.032,0.032,0.710,0.032,0.032,0.032,0.032,0.032
232,0.024,0.024,0.024,0.306,0.504,0.024,0.024,0.024,0.024,0.024
233,0.757,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027
234,0.618,0.168,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027
235,0.743,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029
236,0.027,0.027,0.027,0.027,0.757,0.027,0.027,0.027,0.027,0.027
237,0.022,0.160,0.262,0.022,0.022,0.022,0.022,0.022,0.022,0.423
238,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.772,0.025,0.025
239,0.530,0.028,0.028,0.242,0.028,0.028,0.028,0.028,0.028,0.028
240,0.026,0.768,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026
241,0.027,0.027,0.027,0.639,0.027,0.027,0.149,0.027,0.027,0.027
242,0.022,0.022,0.022,0.632,0.022,0.191,0.022,0.022,0.022,0.022
243,0.781,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024
244,0.031,0.720,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031
245,0.020,0.020,0.020,0.020,0.020,0.020,0.822,0.020,0.020,0.020
246,0.024,0.024,0.024,0.024,0.024,0.780,0.024,0.025,0.024,0.024
247,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.767
248,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.764,0.026
249,0.196,0.028,0.028,0.028,0.576,0.028,0.028,0.028,0.028,0.028
250,0.029,0.029,0.029,0.029,0.385,0.029,0.029,0.029,0.380,0.029
251,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.830,0.019
252,0.332,0.443,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028
253,0.031,0.031,0.031,0.031,0.031,0.718,0.031,0.031,0.031,0.031
254,0.794,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023
255,0.024,0.024,0.024,0.582,0.024,0.024,0.229,0.024,0.024,0.024
256,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.709
257,0.015,0.015,0.015,0.015,0.483,0.015,0.284,0.015,0.131,0.015
258,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.806
259,0.027,0.027,0.620,0.027,0.165,0.027,0.027,0.027,0.027,0.027
260,0.025,0.025,0.406,0.298,0.025,0.025,0.025,0.118,0.025,0.025
261,0.025,0.025,0.025,0.776,0.025,0.025,0.025,0.025,0.025,0.025
262,0.038,0.038,0.038,0.038,0.038,0.662,0.038,0.038,0.038,0.038
263,0.023,0.023,0.023,0.023,0.023,0.795,0.023,0.023,0.023,0.023
264,0.669,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.037
265,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.803
266,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.746,0.028
267,0.245,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.549
268,0.030,0.030,0.030,0.030,0.030,0.030,0.734,0.030,0.030,0.030
269,0.814,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021
270,0.018,0.018,0.018,0.018,0.018,0.842,0.018,0.018,0.018,0.018
271,0.732,0.030,0.030,0.030,0.030,0.030,0.030,0.030,0.030,0.030
272,0.021,0.162,0.021,0.021,0.021,0.021,0.420,0.021,0.021,0.270
273,0.319,0.026,0.026,0.473,0.026,0.026,0.026,0.026,0.026,0.026
274,0.021,0.021,0.021,0.021,0.021,0.021,0.101,0.021,0.021,0.733
275,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.738
276,0.025,0.025,0.025,0.778,0.025,0.025,0.025,0.025,0.025,0.025
277,0.023,0.023,0.023,0.023,0.023,0.023,0.792,0.023,0.023,0.023
278,0.022,0.798,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022
279,0.019,0.019,0.829,0.019,0.019,0.019,0.019,0.019,0.019,0.019
280,0.027,0.027,0.312,0.027,0.027,0.027,0.474,0.027,0.027,0.027
281,0.028,0.633,0.028,0.028,0.147,0.028,0.028,0.028,0.028,0.028
282,0.024,0.024,0.024,0.194,0.024,0.548,0.024,0.092,0.024,0.024
283,0.780,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024
284,0.029,0.029,0.029,0.029,0.029,0.742,0.029,0.029,0.029,0.029
285,0.020,0.020,0.419,0.417,0.020,0.020,0.020,0.020,0.020,0.020
286,0.431,0.017,0.017,0.430,0.017,0.017,0.017,0.017,0.017,0.017
287,0.022,0.022,0.630,0.022,0.022,0.022,0.022,0.022,0.022,0.191
288,0.222,0.018,0.018,0.018,0.170,0.373,0.018,0.126,0.018,0.018
289,0.843,0.017,0.017,0.018,0.017,0.017,0.018,0.017,0.017,0.017
290,0.298,0.472,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029
291,0.024,0.469,0.024,0.024,0.024,0.342,0.024,0.024,0.024,0.024
292,0.024,0.024,0.781,0.024,0.024,0.024,0.024,0.024,0.024,0.024
293,0.024,0.024,0.784,0.024,0.024,0.024,0.024,0.024,0.024,0.024
294,0.023,0.023,0.023,0.023,0.023,0.793,0.023,0.023,0.023,0.023
295,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.785
296,0.022,0.240,0.022,0.022,0.022,0.022,0.581,0.022,0.022,0.022
297,0.026,0.167,0.026,0.484,0.169,0.026,0.026,0.026,0.026,0.026
298,0.791,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023
299,0.027,0.169,0.027,0.474,0.027,0.170,0.027,0.027,0.027,0.027
300,0.031,0.031,0.031,0.719,0.031,0.031,0.031,0.031,0.031,0.031
301,0.332,0.039,0.014,0.014,0.281,0.166,0.084,0.043,0.014,0.014
302,0.025,0.025,0.025,0.025,0.655,0.025,0.147,0.025,0.025,0.025
303,0.184,0.023,0.023,0.631,0.023,0.023,0.023,0.023,0.023,0.023
304,0.222,0.032,0.032,0.032,0.520,0.032,0.032,0.032,0.032,0.032
305,0.023,0.389,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.426
306,0.021,0.381,0.454,0.021,0.021,0.021,0.021,0.021,0.021,0.021
307,0.025,0.025,0.647,0.025,0.156,0.025,0.025,0.025,0.025,0.025
308,0.024,0.024,0.024,0.486,0.024,0.325,0.024,0.024,0.024,0.024
309,0.024,0.781,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024
310,0.018,0.018,0.836,0.018,0.018,0.018,0.018,0.018,0.018,0.018
311,0.024,0.024,0.788,0.024,0.024,0.024,0.024,0.024,0.024,0.024
312,0.022,0.022,0.355,0.022,0.022,0.022,0.022,0.022,0.468,0.022
313,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.226,0.567,0.026
314,0.301,0.021,0.021,0.097,0.021,0.376,0.101,0.021,0.021,0.021
315,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.803,0.022
316,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.786
317,0.025,0.025,0.025,0.776,0.025,0.025,0.025,0.025,0.025,0.025
318,0.022,0.022,0.022,0.557,0.022,0.022,0.022,0.022,0.022,0.271
319,0.658,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.150,0.024
320,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.782
321,0.023,0.023,0.023,0.023,0.023,0.023,0.794,0.023,0.023,0.023
322,0.026,0.026,0.297,0.026,0.026,0.026,0.026,0.499,0.026,0.026
323,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.757,0.027,0.027
324,0.023,0.023,0.256,0.563,0.023,0.023,0.023,0.023,0.023,0.023
325,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.346,0.165,0.315
326,0.547,0.020,0.222,0.090,0.020,0.020,0.020,0.020,0.020,0.020
327,0.024,0.024,0.024,0.024,0.464,0.024,0.344,0.024,0.024,0.024
328,0.024,0.024,0.024,0.024,0.785,0.024,0.024,0.024,0.024,0.024
329,0.228,0.024,0.024,0.024,0.579,0.024,0.024,0.024,0.024,0.024
330,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.791
331,0.029,0.029,0.029,0.354,0.029,0.029,0.029,0.029,0.029,0.415
