,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9
1843,0.024,0.024,0.786,0.024,0.024,0.024,0.024,0.024,0.024,0.024
1844,0.700,0.019,0.019,0.150,0.019,0.019,0.019,0.019,0.019,0.019
1845,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.747,0.028
1846,0.737,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029
1847,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.766
1848,0.744,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028
1849,0.748,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028
1850,0.025,0.025,0.504,0.161,0.025,0.025,0.162,0.025,0.025,0.025
1851,0.432,0.028,0.217,0.028,0.028,0.158,0.028,0.028,0.028,0.028
1852,0.034,0.034,0.473,0.034,0.034,0.034,0.034,0.034,0.256,0.034
1853,0.030,0.030,0.733,0.030,0.030,0.030,0.030,0.030,0.030,0.030
1854,0.584,0.025,0.104,0.025,0.025,0.025,0.139,0.025,0.025,0.025
1855,0.169,0.019,0.019,0.019,0.076,0.019,0.291,0.019,0.019,0.348
1856,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.782,0.024,0.024
1857,0.842,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018
1858,0.025,0.025,0.025,0.025,0.772,0.025,0.025,0.025,0.025,0.025
1859,0.217,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.121,0.504
1860,0.027,0.027,0.455,0.027,0.027,0.027,0.027,0.330,0.027,0.027
1861,0.028,0.028,0.028,0.747,0.028,0.028,0.028,0.028,0.028,0.028
1862,0.795,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023
1863,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.753,0.027
1864,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.831,0.019
1865,0.023,0.023,0.585,0.023,0.023,0.023,0.023,0.023,0.023,0.229
1866,0.020,0.020,0.020,0.020,0.816,0.020,0.020,0.020,0.020,0.020
1867,0.029,0.029,0.029,0.735,0.029,0.029,0.029,0.029,0.029,0.029
1868,0.029,0.460,0.029,0.307,0.029,0.029,0.029,0.029,0.029,0.029
1869,0.025,0.025,0.025,0.025,0.025,0.385,0.415,0.025,0.025,0.025
1870,0.450,0.032,0.032,0.032,0.296,0.032,0.032,0.032,0.032,0.032
1871,0.026,0.026,0.373,0.026,0.026,0.026,0.026,0.417,0.026,0.026
1872,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.772,0.025,0.025
1873,0.034,0.034,0.034,0.034,0.034,0.034,0.692,0.034,0.034,0.034
1874,0.026,0.654,0.026,0.026,0.026,0.135,0.026,0.026,0.026,0.026
1875,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.767
1876,0.030,0.030,0.030,0.030,0.030,0.030,0.343,0.030,0.030,0.417
1877,0.026,0.026,0.026,0.434,0.026,0.362,0.026,0.026,0.026,0.026
1878,0.025,0.025,0.025,0.772,0.025,0.025,0.025,0.025,0.025,0.025
1879,0.027,0.185,0.027,0.027,0.027,0.027,0.027,0.027,0.598,0.027
1880,0.445,0.024,0.024,0.024,0.024,0.295,0.095,0.024,0.024,0.024
1881,0.024,0.024,0.024,0.780,0.024,0.024,0.024,0.024,0.024,0.024
1882,0.025,0.025,0.025,0.658,0.025,0.025,0.025,0.025,0.025,0.138
1883,0.026,0.026,0.026,0.494,0.026,0.026,0.026,0.026,0.298,0.026
1884,0.026,0.026,0.026,0.026,0.026,0.769,0.026,0.026,0.026,0.026
1885,0.018,0.018,0.459,0.018,0.018,0.018,0.398,0.018,0.018,0.018
1886,0.022,0.022,0.415,0.022,0.022,0.022,0.022,0.022,0.022,0.413
1887,0.025,0.240,0.025,0.557,0.025,0.025,0.025,0.025,0.025,0.025
1888,0.024,0.164,0.024,0.024,0.024,0.024,0.024,0.024,0.304,0.364
1889,0.026,0.026,0.768,0.026,0.026,0.026,0.026,0.026,0.026,0.026
1890,0.650,0.015,0.015,0.015,0.015,0.015,0.177,0.015,0.015,0.066
1891,0.030,0.030,0.030,0.030,0.030,0.030,0.030,0.030,0.414,0.349
1892,0.023,0.023,0.793,0.023,0.023,0.023,0.023,0.023,0.023,0.023
1893,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.750
1894,0.034,0.034,0.034,0.034,0.697,0.034,0.034,0.034,0.034,0.034
1895,0.861,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015
1896,0.029,0.029,0.029,0.595,0.029,0.177,0.029,0.029,0.029,0.029
1897,0.024,0.024,0.145,0.661,0.024,0.024,0.024,0.024,0.024,0.024
1898,0.027,0.027,0.761,0.027,0.027,0.027,0.027,0.027,0.027,0.027
1899,0.032,0.032,0.032,0.552,0.032,0.032,0.032,0.032,0.196,0.032
1900,0.028,0.028,0.028,0.750,0.028,0.028,0.028,0.028,0.028,0.028
1901,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.749
1902,0.024,0.024,0.781,0.024,0.024,0.024,0.024,0.024,0.024,0.024
1903,0.024,0.024,0.024,0.317,0.493,0.024,0.024,0.024,0.024,0.024
1904,0.025,0.025,0.778,0.025,0.025,0.025,0.025,0.025,0.025,0.025
1905,0.028,0.028,0.028,0.028,0.028,0.028,0.752,0.028,0.028,0.028
1906,0.020,0.020,0.816,0.020,0.020,0.020,0.020,0.020,0.020,0.020
1907,0.024,0.024,0.024,0.024,0.024,0.024,0.783,0.024,0.024,0.024
1908,0.023,0.023,0.023,0.530,0.023,0.023,0.285,0.023,0.023,0.023
1909,0.025,0.025,0.025,0.366,0.025,0.025,0.025,0.436,0.025,0.025
1910,0.691,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034
1911,0.022,0.022,0.022,0.022,0.022,0.362,0.022,0.022,0.022,0.464
1912,0.029,0.029,0.029,0.605,0.029,0.164,0.029,0.029,0.029,0.029
1913,0.500,0.025,0.025,0.297,0.025,0.025,0.025,0.025,0.025,0.026
1914,0.024,0.024,0.024,0.782,0.024,0.024,0.024,0.024,0.024,0.024
1915,0.030,0.030,0.030,0.733,0.030,0.030,0.030,0.030,0.030,0.030
1916,0.018,0.018,0.651,0.018,0.018,0.018,0.204,0.018,0.018,0.018
1917,0.026,0.026,0.026,0.084,0.026,0.709,0.026,0.026,0.026,0.026
1918,0.025,0.025,0.025,0.777,0.025,0.025,0.025,0.025,0.025,0.025
1919,0.023,0.023,0.023,0.023,0.796,0.023,0.023,0.023,0.023,0.023
1920,0.023,0.023,0.023,0.023,0.023,0.023,0.793,0.023,0.023,0.023
1921,0.144,0.017,0.548,0.017,0.090,0.116,0.017,0.017,0.017,0.017
1922,0.022,0.022,0.276,0.022,0.544,0.022,0.022,0.022,0.022,0.022
1923,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.736,0.029
1924,0.795,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023
1925,0.032,0.417,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.326
1926,0.026,0.026,0.026,0.026,0.026,0.765,0.026,0.026,0.026,0.026
1927,0.016,0.016,0.016,0.016,0.616,0.016,0.016,0.016,0.016,0.255
1928,0.024,0.024,0.024,0.781,0.024,0.024,0.024,0.024,0.024,0.024
1929,0.020,0.020,0.466,0.020,0.020,0.176,0.218,0.020,0.020,0.020
1930,0.350,0.017,0.017,0.341,0.017,0.017,0.017,0.017,0.188,0.017
1931,0.026,0.654,0.026,0.026,0.026,0.135,0.026,0.026,0.026,0.026
1932,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.780,0.024
1933,0.029,0.029,0.737,0.029,0.029,0.029,0.029,0.029,0.029,0.029
1934,0.422,0.025,0.025,0.025,0.025,0.025,0.376,0.025,0.025,0.025
1935,0.032,0.032,0.032,0.032,0.713,0.032,0.032,0.032,0.032,0.032
1936,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.802
1937,0.027,0.027,0.027,0.753,0.027,0.027,0.027,0.027,0.027,0.027
1938,0.732,0.030,0.030,0.030,0.030,0.030,0.030,0.030,0.030,0.030
1939,0.024,0.024,0.024,0.247,0.372,0.024,0.024,0.024,0.024,0.215
1940,0.035,0.035,0.035,0.328,0.035,0.035,0.035,0.035,0.035,0.395
1941,0.214,0.029,0.175,0.029,0.029,0.029,0.029,0.029,0.029,0.406
1942,0.786,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024
